train_loss,epoch,step,val_loss,test_loss
0.93414306640625,0,49,,
0.7076849937438965,0,99,,
0.4759409427642822,0,149,,
0.3046790361404419,0,199,,
0.28669464588165283,0,249,,
0.36728236079216003,0,299,,
0.3247835040092468,0,349,,
0.2975345253944397,0,399,,
0.2985077202320099,0,449,,
0.1926943063735962,0,499,,
0.38507065176963806,0,549,,
0.37695184350013733,0,599,,
0.5172930359840393,0,649,,
0.23423516750335693,0,699,,
0.3002852201461792,0,749,,
,0,781,0.24745012819766998,
0.23014789819717407,1,799,,
0.21066032350063324,1,849,,
0.2113475203514099,1,899,,
0.47108638286590576,1,949,,
0.333790123462677,1,999,,
0.18461382389068604,1,1049,,
0.14772820472717285,1,1099,,
0.18490807712078094,1,1149,,
0.36459726095199585,1,1199,,
0.49189281463623047,1,1249,,
0.2636660039424896,1,1299,,
0.10925882309675217,1,1349,,
0.06104148179292679,1,1399,,
0.12423165887594223,1,1449,,
0.18046317994594574,1,1499,,
0.20551708340644836,1,1549,,
,1,1563,0.18790553510189056,
0.13729847967624664,2,1599,,
0.20126689970493317,2,1649,,
0.1226617693901062,2,1699,,
0.058604203164577484,2,1749,,
0.14095725119113922,2,1799,,
0.1661646068096161,2,1849,,
0.1926485002040863,2,1899,,
0.07016870379447937,2,1949,,
0.16897748410701752,2,1999,,
0.13740113377571106,2,2049,,
0.14819614589214325,2,2099,,
0.06579594314098358,2,2149,,
0.04319426789879799,2,2199,,
0.1420145332813263,2,2249,,
0.109672911465168,2,2299,,
,2,2345,0.1558300107717514,
,2,2346,0.1558300107717514,
,2,2346,,0.15681549906730652
